"Date","Team1","Team2","Toss_Winner","Toss_Decision","Venue","Run1","Over1","Wicket1","Run2","Over2","Wicket2","Winner","Winnerby","Margin"
"2014-11-18","Australia","West Indies","Australia","bat","Bradman Oval","275","49.6","5","127","24.5","8","Australia","runs","148"
"2006-04-03","India","England","India","bat","Nehru Stadium, Fatorda","294","49.6","6","245","48.5","10","India","runs","49"
"2014-07-24","Zimbabwe","Afghanistan","Zimbabwe","field","Queens Sports Club","259","49.1","10","159","37.6","10","Afghanistan","runs","100"
"2013-01-06","India","Pakistan","India","bat","Feroz Shah Kotla","167","43.4","10","157","48.7","10","India","runs","10"
"2009-03-29","West Indies","England","England","field","Kensington Oval, Bridgetown","239","49.6","10","136","18.3","1","England","wickets","9"
"2013-07-26","Sri Lanka","South Africa","South Africa","bat","Pallekele International Cricket Stadium","223","49.6","7","167","43.2","10","South Africa","runs","56"
"2015-10-14","India","South Africa","India","bat","Holkar Cricket Stadium","247","49.6","10","225","43.4","10","India","runs","22"
"2016-10-09","South Africa","Australia","Australia","bat","St George's Park","167","36.4","10","168","35.3","4","South Africa","wickets","6"
"2007-03-20","Scotland","South Africa","South Africa","field","Warner Park, Basseterre","186","49.6","7","188","23.2","3","South Africa","wickets","7"
"2016-09-25","South Africa","Ireland","Ireland","field","Willowmoore Park","354","49.6","4","148","30.5","10","South Africa","runs","206"
"2008-02-12","New Zealand","England","New Zealand","field","Seddon Park","158","35.1","10","165","18.1","0","New Zealand","wickets","10"
"2009-09-30","Australia","Pakistan","Australia","field","SuperSport Park","205","49.7","6","206","49.6","8","Australia","wickets","2"
"2007-04-02","Bangladesh","New Zealand","New Zealand","field","Sir Vivian Richards Stadium, North Sound","174","48.3","10","178","29.2","1","New Zealand","wickets","9"
"2013-01-03","India","Pakistan","India","field","Eden Gardens","250","48.3","10","165","47.7","10","Pakistan","runs","85"
"2010-03-02","Bangladesh","England","England","field","Shere Bangla National Stadium","260","49.6","6","261","48.5","8","England","wickets","2"
"2015-07-26","England","Australia","England","field","County Ground, New Road","241","49.6","6","152","43.1","10","Australia","runs","89"
"2014-11-16","Australia","South Africa","Australia","bat","Western Australia Cricket Association Ground","154","41.5","10","157","27.4","7","South Africa","wickets","3"
"2009-11-08","South Africa","Zimbabwe","Zimbabwe","field","Willowmoore Park","295","49.6","5","250","49.6","6","South Africa","runs","45"
"2007-10-27","Kenya","Bermuda","Bermuda","bat","Gymkhana Club Ground","183","49.6","10","187","44.1","7","Kenya","wickets","3"
"2010-06-09","Zimbabwe","Sri Lanka","Sri Lanka","field","Harare Sports Club","199","48.6","10","203","34.4","1","Sri Lanka","wickets","9"
"2014-12-10","Sri Lanka","England","England","field","Pallekele International Cricket Stadium","239","48.8","10","240","49.1","5","England","wickets","5"
"2009-08-19","Canada","Kenya","Canada","field","Maple Leaf North-West Ground","113","33.1","10","117","16.2","1","Canada","wickets","9"
"2010-10-14","Bangladesh","New Zealand","New Zealand","field","Shere Bangla National Stadium","241","48.1","10","232","49.3","10","Bangladesh","runs","9"
"2008-06-25","England","New Zealand","New Zealand","field","Kennington Oval","245","49.4","10","246","49.6","10","New Zealand","wickets","1"
"2008-06-25","Hong Kong","India","India","bat","National Stadium","374","49.6","4","118","36.5","10","India","runs","256"
"2013-02-22","West Indies","Zimbabwe","Zimbabwe","field","National Cricket Stadium, St George's","337","49.6","4","181","49.6","10","West Indies","runs","156"
"2016-10-24","South Africa","New Zealand","New Zealand","bat","Boland Park","273","49.6","7","147","45.5","10","New Zealand","runs","126"
"2007-07-01","England","West Indies","West Indies","field","Lord's","225","49.5","10","146","39.5","10","England","runs","79"
"2007-04-15","Bangladesh","Ireland","Ireland","bat","Kensington Oval, Bridgetown","243","49.6","7","169","41.2","10","Ireland","runs","74"
"2013-09-03","Ireland","England","England","field","The Village, Malahide","269","49.6","7","274","42.6","4","England","wickets","6"
"2016-02-14","South Africa","England","South Africa","field","Newlands","236","44.7","10","237","43.7","5","South Africa","wickets","5"
"2013-02-24","Sri Lanka","West Indies","West Indies","bat","Rangiri Dambulla International Stadium","180","49.6","8","184","45.5","6","Sri Lanka","wickets","4"
"2010-10-29","Pakistan","South Africa","Pakistan","bat","Sheikh Zayed Stadium","203","48.6","10","207","39.3","4","South Africa","wickets","8"
"2012-08-28","England","South Africa","South Africa","bat","The Rose Bowl","287","49.6","5","207","40.4","10","South Africa","runs","80"
"2007-11-25","South Africa","New Zealand","South Africa","field","Kingsmead","248","49.7","6","249","49.6","8","South Africa","wickets","2"
"2008-06-29","West Indies","Australia","Australia","field","National Cricket Stadium, St George's","223","47.6","10","227","40.4","3","Australia","wickets","7"
"2007-10-14","India","Australia","Australia","bat","Vidarbha Cricket Association Ground","317","49.7","7","299","49.6","7","Australia","runs","18"
"2007-10-17","India","Australia","Australia","bat","Wankhede Stadium","193","41.3","10","195","45.6","8","India","wickets","2"
"2016-10-09","Bangladesh","England","England","field","Shere Bangla National Stadium","238","49.6","8","204","44.4","10","Bangladesh","runs","34"
"2014-08-27","Australia","South Africa","South Africa","field","Harare Sports Club","327","49.6","7","328","46.6","3","South Africa","wickets","7"
"2008-06-08","Bangladesh","Pakistan","Bangladesh","field","Shere Bangla National Stadium","233","39.3","10","163","39.6","8","Pakistan","runs","70"
"2010-08-10","India","New Zealand","New Zealand","bat","Rangiri Dambulla International Stadium","288","48.5","10","88","29.3","10","New Zealand","runs","200"
"2015-01-11","Pakistan","Sri Lanka","Pakistan","bat","Sharjah Cricket Stadium","138","49.7","8","126","45.1","10","Pakistan","runs","12"
"2012-03-16","West Indies","Australia","Australia","bat","Arnos Vale Ground, Kingstown","204","49.6","8","140","32.3","10","Australia","runs","64"
"2014-11-02","India","Sri Lanka","Sri Lanka","field","Barabati Stadium","363","49.6","5","194","39.2","10","India","runs","169"
"2007-11-15","India","Pakistan","Pakistan","bat","Captain Roop Singh Stadium","255","49.6","6","260","46.3","4","India","wickets","6"
"2007-02-09","Australia","England","Australia","bat","Melbourne Cricket Ground","252","48.3","10","253","49.3","6","England","wickets","4"
"2008-02-26","India","Sri Lanka","India","field","Bellerive Oval","179","47.1","10","180","32.2","3","India","wickets","7"
"2009-10-25","India","Australia","Australia","bat","Reliance Stadium","292","49.6","7","288","49.6","8","Australia","runs","4"
"2015-10-11","India","South Africa","South Africa","bat","Green Park","303","49.6","5","298","49.6","7","South Africa","runs","5"
"2012-12-19","Australia","New Zealand","Australia","bat","North Sydney Oval","267","49.6","10","260","49.6","8","Australia","runs","7"
"2011-02-06","Australia","England","Australia","bat","Western Australia Cricket Association Ground","279","49.8","7","222","43.6","10","Australia","runs","57"
"2008-02-10","Australia","India","Australia","bat","Melbourne Cricket Ground","159","43.1","10","160","45.6","5","India","wickets","5"
"2010-06-15","Sri Lanka","Pakistan","Sri Lanka","bat","Rangiri Dambulla International Stadium","242","49.6","10","226","46.7","10","Sri Lanka","runs","16"
"2006-03-04","New Zealand","West Indies","New Zealand","bat","Eden Park","233","49.4","10","234","49.4","7","West Indies","wickets","3"
"2007-11-30","South Africa","New Zealand","South Africa","bat","St George's Park","209","49.6","10","210","38.4","3","New Zealand","wickets","7"
"2008-04-19","Pakistan","Bangladesh","Pakistan","bat","National Stadium","329","49.6","10","179","40.6","10","Pakistan","runs","150"
"2016-06-07","Australia","South Africa","South Africa","bat","Providence Stadium","189","49.6","10","142","34.2","10","South Africa","runs","47"
"2007-03-21","Pakistan","Zimbabwe","Zimbabwe","field","Sabina Park, Kingston","349","49.5","10","99","19.1","10","Pakistan","runs","93"
"2007-03-16","Netherlands","South Africa","Netherlands","field","Warner Park, Basseterre","353","39.7","3","132","39.6","8","South Africa","runs","221"
"2013-09-08","England","Australia","England","field","Old Trafford","315","49.6","7","227","44.2","10","Australia","runs","88"
"2015-03-26","Australia","India","Australia","bat","Sydney Cricket Ground","328","49.6","7","233","46.5","10","Australia","runs","95"
"2012-09-05","England","South Africa","England","bat","Trent Bridge","182","45.2","10","186","34.3","3","South Africa","wickets","7"
"2006-09-08","England","Pakistan","Pakistan","bat","Trent Bridge","235","49.6","8","237","46.2","2","England","wickets","8"
"2011-06-06","West Indies","India","West Indies","bat","Queen's Park Oval, Port of Spain","214","49.6","10","217","44.5","6","India","wickets","4"
"2013-06-20","India","Sri Lanka","India","field","Sophia Gardens","181","49.6","8","182","34.7","2","India","wickets","8"
"2016-09-10","Scotland","Hong Kong","Scotland","bat","Grange Cricket Club Ground, Raeburn Place","266","49.6","7","213","46.1","10","Scotland","runs","53"
"2009-10-31","Bangladesh","Zimbabwe","Bangladesh","field","Shere Bangla National Stadium","196","41.2","10","198","40.4","6","Bangladesh","wickets","4"
"2015-11-20","England","Pakistan","England","bat","Dubai International Cricket Stadium","355","49.8","5","271","40.4","10","England","runs","84"
"2013-10-19","India","Australia","Australia","field","Punjab Cricket Association Stadium, Mohali","303","49.6","10","304","49.3","6","Australia","wickets","4"
"2009-04-09","South Africa","Australia","South Africa","bat","Newlands","289","49.6","6","264","49.6","7","South Africa","runs","25"
"2013-06-09","New Zealand","Sri Lanka","Sri Lanka","bat","Sophia Gardens","138","37.5","10","139","36.4","10","New Zealand","wickets","1"
"2008-03-04","Australia","India","India","bat","Brisbane Cricket Ground, Woolloongabba","258","49.6","10","249","49.4","10","India","runs","9"
"2011-03-02","England","Ireland","England","bat","M Chinnaswamy Stadium","327","49.6","7","329","49.1","7","Ireland","wickets","3"
"2009-10-29","Bangladesh","Zimbabwe","Zimbabwe","bat","Shere Bangla National Stadium","219","47.2","10","221","29.3","3","Bangladesh","wickets","7"
"2008-08-20","Sri Lanka","India","India","field","Rangiri Dambulla International Stadium","142","38.3","10","143","39.4","7","India","wickets","3"
"2008-08-24","Sri Lanka","India","India","bat","R Premadasa Stadium","237","49.7","8","204","48.6","10","India","runs","33"
"2008-07-04","West Indies","Australia","West Indies","field","Warner Park, Basseterre","282","49.6","8","281","49.6","6","Australia","runs","1"
"2011-03-04","New Zealand","Zimbabwe","Zimbabwe","bat","Sardar Patel Stadium, Motera","162","46.2","10","166","33.3","0","New Zealand","wickets","10"
"2013-12-05","South Africa","India","India","field","New Wanderers Stadium","358","49.6","4","217","40.7","10","South Africa","runs","141"
"2012-09-02","England","South Africa","England","field","Lord's","220","49.6","8","224","46.5","4","England","wickets","6"
"2014-03-08","Pakistan","Sri Lanka","Pakistan","bat","Shere Bangla National Stadium","260","49.6","5","261","46.2","5","Sri Lanka","wickets","5"
"2012-07-11","England","India","England","field","Sir Paul Getty's Ground","152","49.6","8","124","35.6","4","England","runs","29"
"2013-08-20","England","Australia","Australia","bat","Lord's","203","49.6","8","176","47.3","10","Australia","runs","27"
"2008-04-16","Pakistan","Bangladesh","Bangladesh","bat","Multan Cricket Stadium","210","49.1","10","212","44.3","3","Pakistan","wickets","7"
"2011-01-22","New Zealand","Pakistan","Pakistan","bat","Westpac Stadium","124","37.3","10","125","17.2","1","New Zealand","wickets","9"
"2007-10-10","Sri Lanka","England","Sri Lanka","bat","R Premadasa Stadium","211","49.6","10","212","46.5","5","England","wickets","5"
"2014-09-02","Australia","South Africa","South Africa","field","Harare Sports Club","282","49.6","7","220","43.6","10","Australia","runs","62"
"2013-03-24","South Africa","Pakistan","Pakistan","bat","Willowmoore Park","205","49.1","10","208","43.6","4","South Africa","wickets","6"
"2006-02-03","Australia","South Africa","Australia","bat","Docklands Stadium","281","49.6","6","201","49.6","10","Australia","runs","80"
"2013-07-28","Zimbabwe","India","India","field","Harare Sports Club","183","45.7","10","187","35.4","3","India","wickets","7"
"2013-01-15","India","England","India","bat","Nehru Stadium","285","49.7","6","158","35.6","10","India","runs","127"
"2008-08-26","England","South Africa","South Africa","bat","Trent Bridge","83","22.7","10","85","14.1","0","England","wickets","10"
"2006-11-02","South Africa","West Indies","South Africa","bat","Sawai Mansingh Stadium","258","49.7","8","262","43.7","5","West Indies","wickets","6"
"2016-02-22","New Zealand","Australia","Australia","field","Bay Oval","206","49.6","10","210","40.6","2","Australia","wickets","8"
"2008-11-14","India","England","England","field","Madhavrao Scindia Cricket Ground","387","49.6","5","229","37.4","10","India","runs","158"
"2010-10-05","Bangladesh","New Zealand","Bangladesh","bat","Shere Bangla National Stadium","228","49.3","10","200","36.6","8","Bangladesh","runs","9"
"2006-05-10","West Indies","Zimbabwe","Zimbabwe","bat","Beausejour Stadium, Gros Islet","152","49.2","10","156","27.4","0","West Indies","wickets","10"
"2011-02-19","Bangladesh","India","Bangladesh","field","Shere Bangla National Stadium","370","49.6","3","283","49.6","10","India","runs","87"
"2010-11-28","India","New Zealand","New Zealand","field","Nehru Stadium","276","48.6","10","236","45.2","10","India","runs","40"
"2009-01-30","Australia","South Africa","South Africa","bat","Western Australia Cricket Association Ground","288","49.6","6","249","48.6","10","South Africa","runs","39"
"2012-02-08","India","Sri Lanka","Sri Lanka","bat","Western Australia Cricket Association Ground","233","49.6","8","234","46.4","6","India","wickets","4"
"2016-02-03","South Africa","England","England","bat","Mangaung Oval","399","49.7","10","250","33.3","5","England","runs","39"
"2010-02-19","Australia","West Indies","Australia","bat","Melbourne Cricket Ground","324","49.6","5","199","36.5","10","Australia","runs","125"
"2016-02-12","South Africa","England","South Africa","field","New Wanderers Stadium","262","47.5","10","266","47.2","10","South Africa","wickets","1"
"2010-07-08","England","Bangladesh","Bangladesh","bat","Trent Bridge","250","49.6","8","251","45.1","4","England","wickets","6"
"2013-03-23","Sri Lanka","Bangladesh","Sri Lanka","field","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa","259","49.6","8","238","35.4","2","Sri Lanka","wickets","8"
"2006-12-08","Bangladesh","Zimbabwe","Bangladesh","field","Shere Bangla National Stadium","146","47.2","10","147","32.2","2","Bangladesh","wickets","8"
"2007-08-27","England","India","India","field","Edgbaston","281","49.6","8","239","48.1","10","England","runs","42"
"2015-09-13","England","Australia","England","bat","Old Trafford","138","32.6","10","140","24.2","2","Australia","wickets","8"
"2009-07-30","Sri Lanka","Pakistan","Pakistan","field","Rangiri Dambulla International Stadium","232","49.6","10","196","44.4","10","Sri Lanka","runs","36"
"2015-01-11","New Zealand","Sri Lanka","Sri Lanka","bat","Hagley Oval","218","49.6","10","219","42.6","7","New Zealand","wickets","3"
"2015-07-11","Sri Lanka","Pakistan","Pakistan","field","Rangiri Dambulla International Stadium","255","49.6","8","259","45.2","4","Pakistan","wickets","6"
"2014-01-26","Australia","England","England","bat","Bellerive Oval","268","49.6","4","269","49.3","6","Australia","wickets","4"
"2016-06-05","West Indies","Australia","Australia","field","Providence Stadium","116","32.3","10","117","25.4","4","Australia","wickets","6"
"2015-01-15","New Zealand","Sri Lanka","New Zealand","bat","Seddon Park","248","49.6","10","252","47.4","4","Sri Lanka","wickets","6"
"2006-03-05","South Africa","Australia","South Africa","field","St George's Park","254","49.7","6","230","47.2","10","Australia","runs","24"
"2012-07-11","West Indies","New Zealand","West Indies","field","Warner Park, Basseterre","249","49.6","10","161","34.3","10","New Zealand","runs","88"
"2015-03-04","Australia","Afghanistan","Afghanistan","field","Western Australia Cricket Association Ground","417","49.6","5","142","37.3","10","Australia","runs","275"
"2014-10-21","Sri Lanka","South Africa","South Africa","field","Sinhalese Sports Club Ground","137","43.4","10","141","34.5","5","South Africa","wickets","5"
"2014-03-01","Bangladesh","Afghanistan","Bangladesh","field","Khan Shaheb Osman Ali Stadium","254","49.6","6","222","47.5","10","Afghanistan","runs","32"
"2011-09-09","England","India","England","field","Kennington Oval","234","49.7","7","218","41.5","7","England","wickets","3"
"2007-10-18","Pakistan","South Africa","South Africa","bat","Gaddafi Stadium","294","49.6","5","249","46.3","10","South Africa","runs","45"
"2012-03-20","Bangladesh","Sri Lanka","Bangladesh","field","Shere Bangla National Stadium","232","49.5","10","212","37.1","5","Bangladesh","wickets","5"
"2014-11-21","Australia","South Africa","South Africa","bat","Melbourne Cricket Ground","267","49.6","8","268","48.7","7","Australia","wickets","3"
"2007-03-18","Australia","Netherlands","Australia","bat","Warner Park, Basseterre","358","49.6","5","129","26.5","10","Australia","runs","229"
"2015-01-13","Pakistan","Sri Lanka","Sri Lanka","bat","Sharjah Cricket Stadium","242","49.6","5","245","47.2","3","Pakistan","wickets","7"
"2015-12-28","New Zealand","Sri Lanka","Sri Lanka","bat","Hagley Oval","117","27.4","10","118","8.2","0","New Zealand","wickets","10"
"2011-10-20","Zimbabwe","New Zealand","Zimbabwe","bat","Harare Sports Club","231","49.6","6","232","43.3","1","New Zealand","wickets","9"
"2011-07-06","England","Sri Lanka","England","field","Trent Bridge","174","43.4","10","171","23.5","0","England","wickets","10"
"2015-02-01","Australia","England","England","field","Western Australia Cricket Association Ground","278","49.7","8","166","39.1","10","Australia","runs","112"
"2009-09-04","England","Australia","England","field","Kennington Oval","260","49.6","5","256","49.6","8","Australia","runs","4"
"2015-10-06","Pakistan","Bangladesh","Bangladesh","bat","Southend Club Cricket Stadium","123","49.6","10","124","38.3","4","Pakistan","wickets","6"
"2009-08-11","Zimbabwe","Bangladesh","Zimbabwe","field","Queens Sports Club","320","49.6","8","271","46.1","10","Bangladesh","runs","49"
"2013-08-31","Zimbabwe","Pakistan","Zimbabwe","field","Harare Sports Club","260","49.8","6","152","39.6","10","Pakistan","runs","108"
"2009-04-27","Australia","Pakistan","Australia","bat","Sheikh Zayed Stadium","198","49.6","7","171","47.1","10","Australia","runs","27"
"2015-03-13","Afghanistan","England","England","field","Sydney Cricket Ground","111","36.2","7","101","18.1","1","England","wickets","9"
"2012-06-16","England","West Indies","West Indies","field","The Rose Bowl","288","49.6","6","172","33.4","10","England","runs","114"
"2014-06-03","England","Sri Lanka","England","bat","Edgbaston","219","48.1","10","222","48.2","4","Sri Lanka","wickets","6"
"2009-04-05","South Africa","Australia","Australia","bat","SuperSport Park","131","40.2","10","132","26.2","3","South Africa","wickets","7"
"2013-07-14","West Indies","Pakistan","West Indies","field","Providence Stadium","224","49.6","10","98","40.7","10","Pakistan","runs","126"
"2007-08-26","Zimbabwe","South Africa","South Africa","bat","Harare Sports Club","323","49.6","10","295","49.6","7","South Africa","runs","28"
"2008-11-23","India","England","England","field","M Chinnaswamy Stadium","166","21.6","4","178","21.7","8","India","runs","19"
"2015-08-27","Ireland","Australia","Australia","bat","Civil Service Cricket Club, Stormont","222","40.2","6","157","23.4","10","Australia","runs","23"
"2015-12-25","Afghanistan","Zimbabwe","Afghanistan","bat","Sharjah Cricket Stadium","131","38.5","10","82","30.5","10","Afghanistan","runs","49"
"2006-12-10","Pakistan","West Indies","Pakistan","field","Gaddafi Stadium","207","46.3","7","192","33.4","3","Pakistan","wickets","7"
"2012-01-20","South Africa","Sri Lanka","South Africa","bat","De Beers Diamond Oval","299","49.6","7","304","48.4","5","Sri Lanka","wickets","5"
"2007-06-06","Africa XI","Asia XI","Asia XI","bat","M Chinnaswamy Stadium","317","49.6","8","283","47.5","10","Asia XI","runs","34"
"2013-02-10","Australia","West Indies","West Indies","field","Melbourne Cricket Ground","274","49.6","5","257","49.5","10","Australia","runs","17"
"2015-10-09","Zimbabwe","Ireland","Zimbabwe","field","Harare Sports Club","219","49.6","8","222","48.7","8","Zimbabwe","wickets","2"
"2012-11-30","Bangladesh","West Indies","West Indies","bat","Sheikh Abu Naser Stadium","199","46.5","10","201","40.2","3","Bangladesh","wickets","7"
"2008-07-04","Pakistan","Bangladesh","Bangladesh","bat","National Stadium","115","38.2","10","116","19.4","0","Pakistan","wickets","10"
"2006-10-26","India","West Indies","West Indies","field","Sardar Patel Stadium, Motera","223","49.6","8","224","49.4","7","West Indies","wickets","3"
"2013-03-28","Sri Lanka","Bangladesh","Sri Lanka","bat","Pallekele International Cricket Stadium","302","49.6","10","184","25.7","7","Bangladesh","wickets","3"
"2012-03-16","Bangladesh","India","Bangladesh","field","Shere Bangla National Stadium","289","49.7","5","293","49.2","5","Bangladesh","wickets","5"
"2011-09-06","England","India","England","field","The Rose Bowl","187","22.6","7","188","22.1","3","England","wickets","7"
"2013-12-27","Pakistan","Sri Lanka","Pakistan","bat","Sheikh Zayed Stadium","232","49.3","10","235","49.4","8","Sri Lanka","wickets","2"
"2011-06-28","England","Sri Lanka","Sri Lanka","field","Kennington Oval","229","31.6","7","121","26.6","10","England","runs","110"
"2012-03-22","Bangladesh","Pakistan","Bangladesh","field","Shere Bangla National Stadium","236","49.8","10","234","49.6","8","Pakistan","runs","2"
"2011-12-02","India","West Indies","India","field","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","269","49.8","10","270","48.2","5","India","wickets","5"
"2010-10-22","South Africa","Zimbabwe","South Africa","bat","Willowmoore Park","399","49.6","6","127","28.6","10","South Africa","runs","272"
"2014-09-02","England","India","India","field","Edgbaston","206","49.3","10","212","30.3","1","India","wickets","9"
"2016-08-31","Sri Lanka","Australia","Sri Lanka","bat","Rangiri Dambulla International Stadium","212","49.6","10","217","30.6","4","Australia","wickets","6"
"2013-11-01","Pakistan","South Africa","Pakistan","bat","Dubai International Cricket Stadium","209","49.4","10","143","40.4","10","Pakistan","runs","66"
"2012-02-21","England","Pakistan","Pakistan","bat","Dubai International Cricket Stadium","237","49.6","10","241","49.2","6","England","wickets","4"
"2006-12-09","Bangladesh","Zimbabwe","Bangladesh","field","Shere Bangla National Stadium","193","49.6","7","197","48.8","7","Bangladesh","wickets","3"
"2014-11-26","Bangladesh","Zimbabwe","Zimbabwe","field","Shere Bangla National Stadium","297","49.6","6","173","39.5","10","Bangladesh","runs","124"
"2016-01-31","New Zealand","Pakistan","Pakistan","bat","Eden Park","290","47.3","10","265","42.4","7","New Zealand","wickets","3"
"2006-03-19","Sri Lanka","Pakistan","Pakistan","field","R Premadasa Stadium","130","44.2","10","134","44.4","6","Pakistan","wickets","4"
"2013-03-10","South Africa","Pakistan","Pakistan","field","Chevrolet Park","315","49.6","4","190","36.2","10","South Africa","runs","125"
"2015-06-24","Bangladesh","India","Bangladesh","field","Shere Bangla National Stadium","317","49.6","6","240","46.6","10","India","runs","77"
"2015-08-26","South Africa","New Zealand","South Africa","bat","Kingsmead","283","49.7","6","221","49.2","10","South Africa","runs","62"
"2011-03-24","India","Australia","Australia","bat","Sardar Patel Stadium, Motera","260","49.7","6","261","47.4","5","India","wickets","5"
"2007-02-04","South Africa","Pakistan","Pakistan","field","SuperSport Park","392","49.8","6","228","46.4","10","South Africa","runs","164"
"2009-09-17","England","Australia","Australia","bat","Trent Bridge","296","49.6","8","185","40.6","10","Australia","runs","111"
"2009-12-18","India","Sri Lanka","India","bat","Vidarbha Cricket Association Stadium, Jamtha","301","49.6","6","302","49.1","7","Sri Lanka","wickets","3"
"2009-09-11","India","New Zealand","New Zealand","bat","R Premadasa Stadium","155","46.3","10","156","40.3","4","India","wickets","6"
"2014-11-14","Australia","South Africa","South Africa","field","Western Australia Cricket Association Ground","300","49.7","8","268","48.1","10","Australia","runs","32"
"2013-01-11","Australia","Sri Lanka","Australia","bat","Melbourne Cricket Ground","305","49.7","5","198","39.8","10","Australia","runs","107"
"2009-04-08","Canada","Scotland","Scotland","field","Willowmoore Park","252","49.6","7","104","30.5","10","Canada","runs","148"
"2010-01-24","Australia","Pakistan","Pakistan","field","Sydney Cricket Ground","267","49.6","6","127","37.3","10","Australia","runs","140"
"2008-08-27","Sri Lanka","India","India","bat","R Premadasa Stadium","258","49.4","10","212","46.3","10","India","runs","46"
"2010-02-14","Australia","West Indies","West Indies","field","Brisbane Cricket Ground, Woolloongabba","324","49.6","7","274","49.7","8","Australia","runs","50"
"2016-02-06","South Africa","England","South Africa","bat","St George's Park","262","49.7","7","263","46.2","5","England","wickets","5"
"2014-08-26","Australia","Pakistan","Pakistan","bat","Peter Burge Oval","189","49.6","8","190","32.6","2","Australia","wickets","8"
"2016-06-11","Australia","South Africa","Australia","bat","Warner Park, Basseterre","288","49.6","6","252","47.4","10","Australia","runs","36"
"2014-01-22","New Zealand","India","India","field","Seddon Park","271","41.6","7","277","41.3","10","New Zealand","runs","15"
"2015-02-14","New Zealand","Sri Lanka","Sri Lanka","field","Hagley Oval","331","49.6","5","233","46.2","10","New Zealand","runs","98"
"2014-08-25","Zimbabwe","Australia","Zimbabwe","field","Harare Sports Club","350","49.9","6","152","39.3","10","Australia","runs","198"
"2013-05-17","Scotland","Pakistan","Pakistan","bat","Grange Cricket Club Ground, Raeburn Place","231","49.6","7","135","39.5","10","Pakistan","runs","96"
"2009-07-26","West Indies","Bangladesh","West Indies","field","Windsor Park, Roseau","246","49.6","10","194","43.4","10","Bangladesh","runs","52"
"2014-02-25","Pakistan","Sri Lanka","Sri Lanka","bat","Khan Shaheb Osman Ali Stadium","296","49.6","6","284","48.5","10","Sri Lanka","runs","12"
"2015-03-04","Pakistan","United Arab Emirates","United Arab Emirates","field","McLean Park","339","49.6","6","210","49.7","8","Pakistan","runs","129"
"2011-03-19","Australia","Pakistan","Australia","bat","R Premadasa Stadium","176","46.4","10","178","40.6","6","Pakistan","wickets","4"
"2012-07-04","England","India","England","field","County Ground","129","47.6","10","115","47.2","10","India","runs","14"
"2008-07-31","Ireland","Scotland","Ireland","field","Clontarf Cricket Club Ground","152","34.6","10","129","23.5","3","Ireland","wickets","7"
"2014-03-02","West Indies","England","England","field","Sir Vivian Richards Stadium, North Sound","159","44.2","10","163","44.5","7","England","wickets","3"
"2016-10-26","India","New Zealand","New Zealand","bat","JSCA International Stadium Complex","260","49.7","7","241","48.4","10","New Zealand","runs","19"
"2009-04-22","Australia","Pakistan","Australia","bat","Dubai Sports City Cricket Stadium","168","38.5","10","171","44.1","6","Pakistan","wickets","4"
"2015-07-15","Sri Lanka","Pakistan","Pakistan","bat","Pallekele International Cricket Stadium","287","49.7","8","288","48.1","8","Sri Lanka","wickets","2"
"2015-06-14","England","New Zealand","England","bat","The Rose Bowl","302","45.2","10","306","48.6","7","New Zealand","wickets","3"
"2015-02-17","New Zealand","Scotland","New Zealand","field","University Oval","142","36.2","10","146","24.5","7","New Zealand","wickets","3"
"2012-02-12","Australia","India","Australia","bat","Adelaide Oval","269","49.6","7","270","49.5","6","India","wickets","4"
"2007-06-24","Ireland","South Africa","Ireland","field","Civil Service Cricket Club, Stormont","173","30.6","4","131","30.5","10","South Africa","runs","42"
"2013-07-23","Sri Lanka","South Africa","Sri Lanka","bat","R Premadasa Stadium","223","49.3","10","104","20.6","5","Sri Lanka","runs","17"
"2007-07-20","Sri Lanka","Bangladesh","Bangladesh","field","P Saravanamuttu Stadium","234","49.6","6","164","40.3","10","Sri Lanka","runs","70"
"2013-10-30","Pakistan","South Africa","South Africa","bat","Sharjah Cricket Stadium","183","49.5","10","182","46.3","10","South Africa","runs","1"
"2012-02-25","New Zealand","South Africa","New Zealand","bat","Westpac Stadium","253","49.6","10","254","45.3","4","South Africa","wickets","6"
"2015-02-21","Pakistan","West Indies","Pakistan","field","Hagley Oval","310","49.6","6","160","38.6","10","West Indies","runs","150"
"2016-02-08","New Zealand","Australia","Australia","field","Seddon Park","246","45.3","10","191","43.4","10","New Zealand","runs","55"
"2015-02-22","Afghanistan","Sri Lanka","Sri Lanka","field","University Oval","232","49.4","10","236","48.3","6","Sri Lanka","wickets","4"
"2011-07-09","England","Sri Lanka","England","bat","Old Trafford","268","49.7","10","252","48.2","10","England","runs","16"
"2016-08-24","England","Pakistan","Pakistan","bat","The Rose Bowl","260","49.6","6","194","34.3","3","England","runs","44"
"2016-10-19","South Africa","New Zealand","New Zealand","bat","Boland Park","208","49.7","8","113","35.5","8","New Zealand","runs","95"
"2015-03-05","Bangladesh","Scotland","Bangladesh","field","Saxton Oval","318","49.7","8","322","48.1","4","Bangladesh","wickets","6"
"2015-05-26","Pakistan","Zimbabwe","Pakistan","bat","Gaddafi Stadium","375","49.6","2","334","49.6","5","Pakistan","runs","41"
