"Date","Team1","Team2","Toss_Winner","Toss_Decision","Venue","Run1","Over1","Wicket1","Run2","Over2","Wicket2","Winner","Winnerby","Margin"
"2009-01-20","Pakistan","Sri Lanka","Sri Lanka","bat","National Stadium","219","45.3","10","220","45.5","2","Pakistan","wickets","8"
"2009-01-10","Bangladesh","Zimbabwe","Bangladesh","field","Shere Bangla National Stadium","205","49.7","10","167","46.2","10","Zimbabwe","runs","38"
"2009-07-28","West Indies","Bangladesh","West Indies","bat","Windsor Park, Roseau","274","49.6","6","276","48.6","7","Bangladesh","wickets","3"
"2014-11-28","United Arab Emirates","Afghanistan","Afghanistan","bat","ICC Academy","248","49.6","6","249","48.5","5","United Arab Emirates","wickets","5"
"2014-03-05","West Indies","England","West Indies","field","Sir Vivian Richards Stadium, North Sound","303","49.7","6","278","47.4","10","England","runs","25"
"2007-03-17","Ireland","Pakistan","Ireland","field","Sabina Park, Kingston","132","45.4","10","133","41.4","7","Ireland","wickets","3"
"2012-02-19","Australia","India","Australia","bat","Brisbane Cricket Ground, Woolloongabba","288","49.6","5","178","43.3","10","Australia","runs","110"
"2013-01-23","Australia","Sri Lanka","Sri Lanka","field","Bellerive Oval","247","49.6","5","215","48.4","10","Australia","runs","32"
"2009-02-10","Australia","New Zealand","New Zealand","bat","Adelaide Oval","244","49.6","8","247","48.2","4","Australia","wickets","6"
"2006-11-22","South Africa","India","South Africa","bat","Kingsmead","248","49.6","7","91","29.1","10","South Africa","runs","157"
"2007-07-07","England","West Indies","West Indies","bat","Trent Bridge","289","49.7","5","196","44.2","10","West Indies","runs","93"
"2014-01-26","Australia","England","Australia","bat","Adelaide Oval","217","49.6","10","212","49.4","10","Australia","runs","5"
"2011-02-24","South Africa","West Indies","South Africa","field","Feroz Shah Kotla","222","47.3","10","223","42.5","3","South Africa","wickets","7"
"2011-03-06","India","Ireland","India","field","M Chinnaswamy Stadium","207","47.5","10","210","45.6","5","India","wickets","5"
"2012-01-17","South Africa","Sri Lanka","Sri Lanka","bat","Chevrolet Park","266","49.6","8","179","33.7","5","South Africa","runs","4"
"2014-11-29","Sri Lanka","England","England","bat","R Premadasa Stadium","185","42.6","10","186","34.2","2","Sri Lanka","wickets","8"
"2013-06-30","West Indies","India","West Indies","field","Sabina Park, Kingston","229","49.6","7","230","47.4","10","West Indies","wickets","1"
"2008-01-27","Pakistan","Zimbabwe","Pakistan","bat","Multan Cricket Stadium","272","49.8","10","235","49.7","7","Pakistan","runs","37"
"2013-05-26","Ireland","Pakistan","Pakistan","field","Clontarf Cricket Club Ground","229","49.6","10","230","48.4","8","Pakistan","wickets","2"
"2015-11-13","England","Pakistan","England","bat","Sheikh Zayed Stadium","283","49.6","5","188","45.5","10","England","runs","95"
"2006-02-10","Australia","Sri Lanka","Sri Lanka","bat","Adelaide Oval","274","49.7","8","252","49.1","10","Sri Lanka","runs","22"
